Book Id;Title;Author;Author l-f;Additional Authors;ISBN;ISBN13;My Rating;Average Rating;Publisher;Binding;Number of Pages;Year Published;Original Publication Year;Date Read;Date Added;Bookshelves;Bookshelves with positions;Exclusive Shelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies;Time
243056077;Zrodzona z krwi i popiołu (Z ciała i ognia, #4);Jennifer L. Armentrout;Armentrout, Jennifer L.;Justyna Norberg;8328736195;9788328736191;4;4.08;Akurat;Paperback;1024;2025;2024;2025/12/29;2025/08/30;;;read;;;;1;0;6
227786635;Crowntide (Lightlark, #4);Alex Aster;Aster, Alex;;1419785710;9781419785719;0;3.74;Harry N. Abrams;Hardcover;448;2025;2025;;2025/12/24;to-read;to-read (#38);to-read;;;;0;0;
227786648;Grim and Oro (Lightlark);Alex Aster;Aster, Alex;;1419785621;9781419785627;0;4.15;Harry N. Abrams;Hardcover;504;2025;2025;;2025/12/24;to-read;to-read (#37);to-read;;;;0;0;
199226453;Przydaj się. Siedem zasad lepszego życia;Arnold Schwarzenegger;Schwarzenegger, Arnold;Marcin Wróbel, Piotr Grzegorzewski, Paweł Bravo;8383193580;9788383193588;0;4.05;W.A.B.;Hardcover;320;2023;2023;;2025/11/12;currently-reading;currently-reading (#4);currently-reading;;;;1;0;
241741177;Niepewna (Bezsilna, #3.5);Lauren  Roberts;Roberts, Lauren;Piotr Kucharski;8384252971;9788384252970;4;3.35;Uroboros;Paperback;318;2025;2025;2025/12/23;2025/09/06;;;read;;;;1;0;2
202247840;Księga Azraela (Bogowie i Potwory, #1);Amber V. Nicole;Nicole, Amber V.;Malwina Stopyra;8383621566;9788383621562;0;4.12;Nowe Strony;Paperback;744;2023;2022;;2025/12/06;to-read;to-read (#36);to-read;;;;0;0;
241147927;Alchemised;SenLinYu;SenLinYu, SenLinYu;Katarzyna Agnieszka Dyrek;8384026890;9788384026892;5;4.42;Filia;Hardcover;992;2025;2025;2025/12/04;2025/10/06;;;read;;;;1;0;29
40681904;Trylogia Czarnego Maga. Ksiega 3. Wielki Mistrz;Trudi Canavan;Canavan, Trudi;;8365534630;9788365534637;5;4.15;Galeria Ksiazki;Paperback;728;2017;2002;2025/11/06;2025/09/28;;;read;;;;1;0;35
3342764;The Magician's Apprentice (Black Magician, #0.5);Trudi Canavan;Canavan, Trudi;;316037885;9780316037884;0;3.98;Orbit;Hardcover;593;2009;2009;;2025/10/09;to-read;to-read (#35);to-read;;;;0;0;
40681906;Nowicjuszka (Trylogia Czarnego Maga, #2);Trudi Canavan;Canavan, Trudi;Agnieszka Fulińska;8365534622;9788365534620;5;4.08;Galeria Książki;Paperback;648;2017;2002;2025/09/30;2025/09/28;;;read;;;;1;0;3
221464911;Ogień w ciele (Z ciała i ognia, #3);Jennifer L. Armentrout;Armentrout, Jennifer L.;Justyna Szcześniak-Norberg;832873298X;9788328732988;5;4.12;Akurat;Paperback;640;2024;2023;2025/09/04;2025/08/07;;;read;;;;1;0;3
32950907;Gildia Magow. Ksiega pierwsza Trylogii Czarnego Maga (polish);Trudi Canavan;Canavan, Trudi;;8362170212;9788362170210;5;3.95;Galeria Ksiazki;Paperback;520;2011;2001;2025/09/27;2025/09/27;;;read;;;;1;0;1
41071915;Harry Potter i Insygnia Śmierci (Harry Potter, #7);J.K. Rowling;Rowling, J.K.;Andrzej Polkowski;8380082443;9788380082441;5;4.62;Media Rodzina;Paperback;780;2017;2007;2025/09/27;2025/09/24;;;read;;;;1;0;2
6186134;Harry Potter i Książę Półkrwi (Harry Potter, #6);J.K. Rowling;Rowling, J.K.;Andrzej Polkowski, Mary GrandPré;8372781672;9788372781673;5;4.58;Media Rodzina;Paperback;703;2008;2005;2025/09/24;2025/09/23;;;read;;;;1;0;2
1126624;Harry Potter i Zakon Feniksa (Harry Potter, #5);J.K. Rowling;Rowling, J.K.;Mary GrandPré, Andrzej Polkowski;837278096X;9788372780966;4;4.50;Media Rodzina;Paperback;960;2004;2003;2025/09/23;2025/09/21;;;read;;;;1;0;3
1127800;Harry Potter i Czara Ognia (Harry Potter, #4);J.K. Rowling;Rowling, J.K.;Andrzej Polkowski, Mary GrandPré;8372780218;9788372780218;4;4.57;Media Rodzina;Paperback;768;2001;2000;2025/09/21;2025/09/20;;;read;;;;1;0;2
2283458;Harry Potter i Więzień Azkabanu (Harry Potter, #3);J.K. Rowling;Rowling, J.K.;Andrzej Polkowski, Mary GrandPré;8372780145;9788372780140;5;4.58;Media Rodzina;Paperback;458;2001;1999;2025/09/20;2025/09/19;;;read;;;;1;0;2
1367304;Harry Potter i Komnata Tajemnic (Harry Potter, #2);J.K. Rowling;Rowling, J.K.;Andrzej Polkowski, Mary GrandPré;8372780072;9788372780072;4;4.43;Media Rodzina;Paperback;366;2000;1998;2025/09/19;2025/09/17;;;read;;;;1;0;2
1241514;Harry Potter i Kamień Filozoficzny (Harry Potter, #1);J.K. Rowling;Rowling, J.K.;Mary GrandPré, Andrzej Polkowski;8372780005;9788372780003;4;4.47;Media Rodzina;Paperback;327;2000;1997;2025/09/17;2025/09/17;;;read;;;;1;0;1
237771048;Słowik i serce z kamienia (Królestwa Nyaxii, #3);Carissa Broadbent;Broadbent, Carissa;Iga Wiśniewska;8384024197;9788384024195;4;4.05;Filia;Hardcover;504;2025;2024;2025/09/17;2025/09/04;;;read;;;;1;0;3
216370768;Popioły i przeklęty król (Królestwa Nyaxii, #2);Carissa Broadbent;Broadbent, Carissa;Sylwia Chojnacka;8383574932;9788383574936;4;4.07;Filia;Hardcover;680;2024;2023;2025/09/14;2025/03/31;;;read;;;;1;0;1
204242253;Żmija i skrzydła nocy (Królestwa Nyaxii, #1);Carissa Broadbent;Broadbent, Carissa;Paulina  Ziarko;8383572360;9788383572369;5;4.27;Filia;Hardcover;500;2024;2022;2025/09/12;2025/04/16;;;read;;;;1;0;1
34642615;Królewska klatka (Czerwona królowa, #3);Victoria Aveyard;Aveyard, Victoria;Adriana Sokołowska-Ostapko, Joanna Dziubińska;8375154407;9788375154405;0;3.88;Moondrive;Hardcover;492;2017;2017;;2025/09/05;to-read;to-read (#34);to-read;;;;0;0;
56732449;The Love Hypothesis;Ali Hazelwood;Hazelwood, Ali;;593336828;9780593336823;0;4.10;Berkley Books;Paperback;400;2021;2021;;2025/08/30;to-read;to-read (#33);to-read;;;;0;0;
63844859;Visions of Flesh and Blood: A Blood and Ash/Flesh and Fire Compendium (Blood and Ash);Jennifer L. Armentrout;Armentrout, Jennifer L.;Rayvn Salvador;1957568305;9781957568300;0;2.95;Blue Box Press;Kindle Edition;580;2024;2024;;2025/08/30;to-read;to-read (#32);to-read;;;;0;0;
209020037;Światło w płomieniu (Z ciała i ognia, #2);Jennifer L. Armentrout;Armentrout, Jennifer L.;Justyna Szcześniak;832873043X;9788328730434;4;4.49;Akurat;Paperback;704;2024;2022;2025/08/29;2025/08/07;;;read;;;;1;0;3
159327761;Cień w żarze (Z ciała i ognia, #1);Jennifer L. Armentrout;Armentrout, Jennifer L.;Justyna Szcześniak;8328727188;9788328727182;4;4.46;You&YA;Paperback;640;2023;2021;2025/08/24;2025/08/07;;;read;;;;1;0;3
62826110;The Brothers Hawthorne;Jennifer Lynn Barnes;Barnes, Jennifer Lynn;;241638496;9780241638491;0;3.90;Penguin;Hardcover;473;2023;2023;;2024/05/27;to-read;to-read (#31);to-read;;;;0;0;
43597280;The Omni Towers Boxed Set (The Omni Towers, #1-3);Jamie A. Waters;Waters, Jamie A.;;1949524132;9781949524130;0;4.34;Hidden Realms Publishing;Kindle Edition;1053;2019;;;2025/01/08;to-read;to-read (#30);to-read;;;;0;0;
214192215;The Fragile Threads of Power (Threads of Power, #1);V.E. Schwab;Schwab, V.E.;;1785658506;9781785658501;0;4.26;Titan Books;Paperback;610;2024;2023;;2024/10/22;to-read;to-read (#29);to-read;;;;0;0;
30049336;Pomnik cesarzowej Achai. Tom V (Pomnik cesarzowej Achai, #5);Andrzej Ziemiański;Ziemiański, Andrzej;;8379641639;9788379641635;0;3.94;Fabryka Słów;Paperback;966;2016;2016;;2024/04/25;to-read;to-read (#28);to-read;;;;0;0;
214319672;Unwholly (Podzieleni, #2);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383197756;9788383197753;0;4.24;Uroboros;Hardcover;528;2024;2012;;2024/08/04;to-read;to-read (#27);to-read;;;;0;0;
204948339;Wczoraj byłaś zła na zielono;Eliza Kącka;Kącka, Eliza;;8368059151;9788368059151;0;4.06;Karakter;Paperback;288;2024;2024;;2025/02/16;to-read;to-read (#26);to-read;;;;0;0;
101160634;Making It So;Patrick   Stewart;Stewart, Patrick;;1982167734;9781982167738;0;4.29;Gallery Books;Hardcover;469;2023;2023;;2025/08/22;to-read;to-read (#25);to-read;;;;0;0;
216726289;Dusza krwi i popiołu (Z krwi i popiołu, #5);Jennifer L. Armentrout;Armentrout, Jennifer L.;Jerzy Malinowski;8328731835;9788328731837;4;3.88;Akurat;Paperback;608;2024;2023;2025/08/18;2025/02/27;;;read;;;;1;0;3
199336202;Wojna Dwóch Królowych (Z krwi i popiołu, #4);Jennifer L. Armentrout;Armentrout, Jennifer L.;Justyna Szcześniak-Norberg;8328728532;9788328728530;5;4.09;Akurat;Paperback;735;2023;2022;2025/08/16;2025/02/27;;;read;;;;1;0;4
96570296;Naku*wiam zen;Maria Peszek;Peszek, Maria;;8367406516;9788367406512;0;3.75;Marginesy;Paperback;336;2022;2022;2025/08/09;2025/07/24;;;read;;;;1;0;15
62687086;Korona ze złoconych kości (Z krwi i popiołu, #3);Jennifer L. Armentrout;Armentrout, Jennifer L.;Jerzy Malinowski;8328724332;9788328724334;5;4.16;You&YA;Paperback;608;2022;2021;2025/08/08;2025/07/27;;;read;;;;1;0;2
61211447;Królestwo ciała i ognia (Z krwi i popiołu, #2);Jennifer L. Armentrout;Armentrout, Jennifer L.;Jerzy Malinowski;832872281X;9788328722811;5;4.32;You&YA;Paperback;608;2022;2020;2025/08/06;2025/07/27;;;read;;;;1;0;2
59746631;Krew i popiół (Z krwi i popiołu, #1);Jennifer L. Armentrout;Armentrout, Jennifer L.;Danuta Górska;8328720221;9788328720220;5;4.21;You&YA;Paperback;512;2022;2020;2025/08/05;2025/07/27;;;read;;;;1;0;2
217388041;The Fallen & the Kiss of Dusk (Crowns of Nyaxia, #4);Carissa Broadbent;Broadbent, Carissa;;1250367816;9781250367815;0;3.97;Bramble;Hardcover;557;2025;2025;;2025/08/03;to-read;to-read (#24);to-read;;;;0;0;
107526479;To, co zostaje w nas na zawsze (Knockemout, #1);Lucy Score;Score, Lucy;Maciej Potulny;8382652832;9788382652833;3;4.13;Gorzka Czekolada;Paperback;640;2023;2022;2025/08/03;2025/02/13;;;read;;;;1;0;2
197425473;Prawdziwie, do szaleństwa. Dzienniki;Alan Rickman;Rickman, Alan;Emma Thompson, Maria Jaszczurowska;8367815742;9788367815741;4;3.58;Wydawnictwo Poznańskie;Paperback;656;2023;2022;2025/07/23;2024/02/09;;;read;;;;1;0;531
221706071;Quicksilver (Fae & Alchemy, #1);Callie Hart;Hart, Callie;;1399745417;9781399745413;4;4.33;Hodderscape;Hardcover;624;2024;2024;2025/07/16;2025/03/31;;;read;;;;1;0;6
222139748;Brimstone (Fae & Alchemy, #2);Callie Hart;Hart, Callie;;1538774224;9781538774229;0;4.16;Forever;Hardcover;672;2025;2025;;2025/07/14;to-read;to-read (#23);to-read;;;;0;0;
222742509;Skyshade (Lightlark, #3);Alex Aster;Aster, Alex;Zuzanna Byczek;8382665241;9788382665246;5;3.66;Jaguar;Paperback;432;2025;2024;2025/07/10;2025/01/28;;;read;;;;1;0;2
205821958;Nightbane (Lightlark, #2);Alex Aster;Aster, Alex;Zuzanna Byczek;838266301X;9788382663013;5;4.08;Jaguar;Paperback;480;2024;2023;2025/07/09;2025/01/28;;;read;;;;1;0;2
231246117;Bezwzględna (Bezsilna, #3);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383877625;9788383877624;5;4.07;Uroboros;Paperback;640;2025;2025;2025/07/08;2025/01/09;;;read;;;;1;0;3
207003754;Lightlark (Lightlark, #1);Alex Aster;Aster, Alex;;141977879X;9781419778797;5;3.84;Harry N. Abrams;Hardcover;432;2024;2022;2025/07/05;2025/01/28;;;read;;;;1;0;3
227362124;Kiedy wykluł się księżyc (Spadające księżyce, #1);Sarah A. Parker;Parker, Sarah A.;Piotr Kucharski;8383875258;9788383875255;4;3.99;Uroboros;Hardcover;704;2025;2024;2025/07/02;2025/05/17;;;read;;;;1;0;7
230371958;Mój następny oddech;Jeremy Renner;Renner, Jeremy;Małgorzata Hesko-Kołodzińska, Piotr Budkiewicz;8368242320;9788368242324;5;4.20;Media Rodzina;Hardcover;264;2025;2025;2025/06/25;2025/05/17;;;read;;;;1;0;1
207298440;All Better Now;Neal Shusterman;Shusterman, Neal;;1534432752;9781534432758;0;3.64;Simon & Schuster Books for Young Readers;Hardcover;528;2025;2025;;2025/05/26;to-read;to-read (#22);to-read;;;;0;0;
10429045;Shatter Me (Shatter Me, #1);Tahereh Mafi;Mafi, Tahereh;;62085484;9780062085481;0;3.84;Harper;Hardcover;338;2011;2011;;2025/05/26;to-read;to-read (#21);to-read;;;;0;0;
229278890;Undivived (Podzieleni, #4);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383876890;9788383876894;0;4.46;Uroboros;Hardcover;480;2025;2014;;2025/05/20;to-read;to-read (#20);to-read;;;;0;0;
228236115;Unsouled (Podzieleni, #3);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383874545;9788383874548;0;4.22;Uroboros;Hardcover;496;2025;2013;;2025/05/20;to-read;to-read (#19);to-read;;;;0;0;
50623864;The Invisible Life of Addie LaRue;V.E. Schwab;Schwab, V.E.;Victoria Schwab;765387565;9780765387561;0;4.17;Tor Books;Hardcover;448;2020;2020;;2025/05/20;to-read;to-read (#18);to-read;;;;0;0;
36329818;Legendary (Caraval, #2);Stephanie Garber;Garber, Stephanie;;125009531X;9781250095312;0;4.10;Flatiron Books;Hardcover;451;2018;2018;;2025/01/28;currently-reading;currently-reading (#3);currently-reading;;;;1;0;
60868126;Caraval (Caraval, #1);Stephanie Garber;Garber, Stephanie;Mateusz Borowski;8367195191;9788367195195;4;3.97;Poradnia K;Paperback;368;2022;2016;2025/04/19;2025/01/14;;;read;;;;1;0;1
