Book Id;Title;Author;Author l-f;Additional Authors;ISBN;ISBN13;My Rating;Average Rating;Publisher;Binding;Number of Pages;Year Published;Original Publication Year;Date Read;Date Added;Bookshelves;Bookshelves with positions;Exclusive Shelf;My Review;Spoiler;Private Notes;Read Count;Owned Copies;Time
223688754;Wschód słońca w dniu dożynek (Igrzyska śmierci, #0.5);Suzanne Collins;Collins, Suzanne;Małgorzata Hesko-Kołodzińska, Piotr Budkiewicz;8368242010;9788368242010;0;4.51;Must Read;Paperback;404;2025;2025;2025/04/18;2025/01/14;;;read;;;;1;0;7
197363933;The Games Gods Play (The Crucible, #1);Abigail Owen;Owen, Abigail;;1649376561;9781649376565;0;4.14;Entangled: Red Tower Books;Hardcover;509;2024;2024;;2025/04/15;to-read;to-read (#17);to-read;;;;0;0;
224123811;Onyx Storm. Onyksowa burza (Empireum, #3);Rebecca Yarros;Yarros, Rebecca;Sylwia Chojnacka;8383579764;9788383579764;4;4.21;Filia;Hardcover;608;2025;2025;2025/03/31;2024/12/10;;;read;;;;1;0;17
140509570;Przysięga złodziei (Taniec złodziei, #2);Mary E. Pearson;Pearson, Mary E.;Sylwia Chojnacka;8382806872;9788382806878;0;4.30;Filia;Paperback;576;2023;2019;;2025/03/05;to-read;to-read (#16);to-read;;;;0;0;
62214961;Taniec złodziei (Taniec złodziei, #1);Mary E. Pearson;Pearson, Mary E.;Sylwia Chojnacka;8382802966;9788382802962;0;4.10;Filia;Paperback;584;2022;2018;;2025/03/04;to-read;to-read (#15);to-read;;;;0;0;
23451266;Pomnik cesarzowej Achai. Tom IV (Pomnik cesarzowej Achai, #4);Andrzej Ziemiański;Ziemiański, Andrzej;;8379640233;9788379640232;0;3.94;Fabryka Słów;Paperback;768;2014;2014;;2024/04/25;currently-reading;currently-reading (#2);currently-reading;;;;1;0;
220829767;Ona (Virion. Legenda Miecza #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8383750374;9788383750378;0;4.40;Fabryka Słów;Paperback;480;2025;2025;;2025/02/27;to-read;to-read (#14);to-read;;;;0;0;
205560093;Unwind (Podzieleni, #1);Neal Shusterman;Shusterman, Neal;Katarzyna Agnieszka Dyrek;8383194765;9788383194769;0;4.17;Uroboros;Hardcover;432;2024;2007;2025/02/26;2024/05/27;;;read;;;;1;0;
28423811;Szklany miecz (Czerwona Królowa, #2);Victoria Aveyard;Aveyard, Victoria;Adriana Sokołowska-Ostapko;8375153788;9788375153781;0;3.78;Moondrive;Paperback;560;2016;2016;;2025/02/22;to-read;to-read (#13);to-read;;;;0;0;
24908588;Czerwona Królowa (Czerwona Królowa, #1);Victoria Aveyard;Aveyard, Victoria;Adriana Sokołowska-Ostapko;837515332X;9788375153323;0;3.98;Otwarte;Paperback;440;2015;2015;;2025/02/22;to-read;to-read (#12);to-read;;;;0;0;
219613599;Beztroska (Bezsilna, #2);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383871813;9788383871813;4;4.07;Uroboros;Paperback;432;2024;2024;2025/02/13;2024/12/10;;;read;;;;1;0;2
218527185;Gwiazdka. Opowieści ilustrowane;Louisa May Alcott;Alcott, Louisa May;Joanna Wadas;8382410758;9788382410754;4;3.13;MG;Hardcover;400;2024;;2025/02/12;2025/01/07;;;read;;;;1;0;1
203578793;Spectacular (Caraval, #3.5);Stephanie Garber;Garber, Stephanie;Rosie Fowinkle;1250893402;9781250893406;0;3.65;Flatiron Books;Hardcover;207;2024;2024;;2025/01/28;to-read;to-read (#11);to-read;;;;0;0;
40381392;Finale (Caraval, #3);Stephanie Garber;Garber, Stephanie;;1250157668;9781250157669;0;4.13;Flatiron Books;Hardcover;478;2019;2019;;2025/01/28;to-read;to-read (#10);to-read;;;;0;0;
216635092;Glorious Rivals (The Grandest Game, #2);Jennifer Lynn Barnes;Barnes, Jennifer Lynn;;316481319;9780316481311;0;4.09;Little, Brown Books for Young Readers;Hardcover;432;2025;2025;;2025/01/28;to-read;to-read (#9);to-read;;;;0;0;
197392670;The Grandest Game (The Grandest Game, #1);Jennifer Lynn Barnes;Barnes, Jennifer Lynn;;316481017;9780316481014;0;3.94;Little, Brown Books for Young Readers;Hardcover;384;2024;2024;;2025/01/28;to-read;to-read (#8);to-read;;;;0;0;
205331828;Iron Flame. Żelazny płomień (Empireum, #2);Rebecca Yarros;Yarros, Rebecca;Sylwia Chojnacka;8383573057;9788383573052;4;4.36;Filia;Hardcover;704;2024;2023;2025/01/24;2024/12/10;;;read;;;;1;0;2
36692308;The Ragpicker King (The Chronicles of Castellane, #2);Cassandra Clare;Clare, Cassandra;;1529001447;9781529001440;0;4.38;Tor;Paperback;557;2025;2025;;2025/01/23;to-read;to-read (#7);to-read;;;;0;0;
36679274;Sword Catcher (The Chronicles of Castellane, #1);Cassandra Clare;Clare, Cassandra;;525619992;9780525619994;0;3.82;Del Rey Books;Hardcover;624;2023;2023;;2025/01/14;to-read;to-read (#6);to-read;;;;0;0;
10834746;Pomnik cesarzowej Achai. Tom III (Pomnik cesarzowej Achai, #3);Andrzej Ziemiański;Ziemiański, Andrzej;;8375749176;9788375749175;3;3.92;Fabryka Słów;Paperback;793;2014;2014;2025/01/14;2024/04/25;;;read;;;;1;0;79
46261182;The Awakening (Zodiac Academy, #1);Caroline Peckham;Peckham, Caroline;Susanne Valenti;;;0;3.82;Dark Ink Publishing;Kindle Edition;436;2019;2019;;2025/01/14;to-read;to-read (#5);to-read;;;;0;0;
211493908;Fourth Wing. Czwarte skrzydło (Empireum, #1);Rebecca Yarros;Yarros, Rebecca;Sylwia Chojnacka;838357407X;9788383574073;5;4.57;Filia;Hardcover;552;2024;2023;2025/01/11;2024/12/10;;;read;;;;1;0;2
220838100;The Primal of Blood and Bone (Blood and Ash, #6);Jennifer L. Armentrout;Armentrout, Jennifer L.;;1963135415;9781963135411;0;3.59;Blue Box Press;Hardcover;800;2025;2025;;2025/01/09;to-read;to-read (#4);to-read;;;;0;0;
837779596;Małe kobietki (Małe kobietki, #1, Część 2);Louisa May Alcott;Alcott, Louisa May;Anna Bańkowska;8377795972;9788377795971;5;4.17;MG;Hardcover;912;2019;1868;2024/12/23;2024/11/13;;;read;;;;1;0;5
837779597;Dobre żony (Małe kobietki, #1, Część 2);Louisa May Alcott;Alcott, Louisa May;Zofia Grabowska;8377795973;9788377795972;5;3.98;MG;Hardcover;448;2020;1868;2024/12/18;2024/11/13;;;read;;;;1;0;24
127068173;Miłość (Twisted, #1);Ana Huang;Huang, Ana;Emilia Skowrońska;8367551095;9788367551090;3;3.71;Czwarta Strona;Paperback;392;2023;2021;2024/11/14;2024/11/13;;;read;;;;1;0;2
199202425;Kłamstwa (Twisted, #4);Ana Huang;Huang, Ana;Anna Hikiert-Bereza;8367891163;9788367891165;0;4.16;Czwarta Strona;Paperback;576;2023;2022;;2024/11/13;to-read;to-read (#3);to-read;;;;0;0;
179912657;Nienawiść (Twisted, #3);Ana Huang;Huang, Ana;Emilia Skowrońska;8367815068;9788367815062;0;3.94;Czwarta Strona;Paperback;528;2023;2022;;2024/11/13;to-read;to-read (#2);to-read;;;;0;0;
134797505;Gry (Twisted, #2);Ana Huang;Huang, Ana;Emilia Skowrońska;8367616758;9788367616751;0;4.08;Czwarta Strona;Paperback;500;2023;2021;;2024/11/13;to-read;to-read (#1);to-read;;;;0;0;
10834741;Pomnik cesarzowej Achai. Tom II (Pomnik cesarzowej Achai, #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8375748587;9788375748581;3;3.94;Fabryka Słów;Paperback;712;2013;2013;2024/10/28;2024/04/25;;;read;;;;1;0;30
216948054;Niezłomna (Bezsilna, #1.5);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383199546;9788383199542;4;4.12;Uroboros;Paperback;272;2024;2024;2024/10/11;2024/09/21;;;read;;;;1;0;1
55359764;Ziemia obiecana;Barack Obama;Obama, Barack;Dariusz Żukowski;8326845833;9788326845833;0;4.31;Agora S.A.;Paperback;872;2021;2020;;2024/09/21;currently-reading;currently-reading (#1);currently-reading;;;;1;0;
131840512;Enemies with Benefits (Loveless Brothers #1);Roxie Noir;Noir, Roxie;;1393906648;9781393906643;0;3.83;;ebook;434;2023;2019;2024/09/21;2024/08/04;;;read;;;;1;0;49
186250688;Głosząca kres (Wojna Lotosowa, #3);Jay Kristoff;Kristoff, Jay;;8383185405;9788383185408;3;4.27;Uroboros;Hardcover;688;2023;2014;2024/09/21;2024/08/04;;;read;;;;1;0;5
156509116;Bratobójca (Wojna Lotosowa, #2);Jay Kristoff;Kristoff, Jay;Jakub Rodziniński;8383185391;9788383185392;3;3.97;Uroboros;Hardcover;656;2023;2013;2024/09/16;2024/08/04;;;read;;;;1;0;21
142424139;Tancerze burzy (Wojna Lotosowa, #1);Jay Kristoff;Kristoff, Jay;Paulina Braiter-Ziemkiewicz;8383185383;9788383185385;4;3.79;Uroboros;Hardcover;448;2023;2012;2024/08/16;2024/07/15;;;read;;;;1;0;1
55671487;Dziwne losy Jane Eyre;Charlotte Brontë;Brontë, Charlotte;Teresa Świderska;8381397405;9788381397407;5;4.16;Świat Książki;Hardcover;560;2020;1847;2024/08/16;2024/05/05;;;read;;;;1;0;5
206222745;Dom Płomienia i Cienia (Księżycowe Miasto, #3);Sarah J. Maas;Maas, Sarah J.;Małgorzata Fabianowska;8328052083;9788328052086;4;4.23;Uroboros;Paperback;1104;2024;2024;2024/07/29;2024/07/15;;;read;;;;1;0;4
60766355;Dom Nieba i Oddechu. Część 2 (Księżycowe Miasto, #2B);Sarah J. Maas;Maas, Sarah J.;Małgorzata Fabianowska;8328098032;9788328098039;4;4.29;Uroboros;Paperback;592;2022;2022;2024/07/25;2024/03/21;;;read;;;;1;0;4
60506996;Dom Nieba i Oddechu. Część 1 (Księżycowe Miasto, #2A);Sarah J. Maas;Maas, Sarah J.;Małgorzata Fabianowska;8328052075;9788328052079;4;3.94;Uroboros;Paperback;528;2022;2022;2024/07/22;2024/03/21;;;read;;;;1;0;2
53300549;Dom Ziemi i Krwi. Część 2 (Księżycowe Miasto, #1B);Sarah J. Maas;Maas, Sarah J.;Marcin Mortka;8328083043;9788328083042;4;4.38;Uroboros;Paperback;624;2020;2020;2024/07/20;2024/03/21;;;read;;;;1;0;2
53195659;Dom Ziemi i Krwi. Część 1 (Księżycowe Miasto, #1A);Sarah J. Maas;Maas, Sarah J.;Marcin Mortka;8328052067;9788328052062;4;3.95;Uroboros;Paperback;560;2020;2020;2024/07/17;2024/03/21;;;read;;;;1;0;4
13504075;Pomnik cesarzowej Achai. Tom I (Pomnik cesarzowej Achai, #1);Andrzej Ziemiański;Ziemiański, Andrzej;;8375746754;9788375746754;3;3.81;Fabryka Słów;Paperback;678;2012;2012;2024/07/14;2024/04/25;;;read;;;;1;0;33
207653336;Bezsilna (Bezsilna, #1);Lauren  Roberts;Roberts, Lauren;Natalia Gawrońska;8383194536;9788383194530;4;4.16;Uroboros;Paperback;608;2024;2023;2024/07/07;2024/05/27;;;read;;;;1;0;3
205858067;Krew (Virion. Legenda Miecza #1);Andrzej Ziemiański;Ziemiański, Andrzej;;8379649915;9788379649914;5;4.32;Fabryka Słów;Paperback;520;2024;2024;2024/06/11;2024/04/25;;;read;;;;1;0;13
209588017;Carmilla;J. Sheridan Le Fanu;Fanu, J. Sheridan Le;Paulina Braiter-Ziemkiewicz, Aleksandra Czudżak;8383195494;9788383195490;5;3.87;Uroboros;Hardcover;176;2024;1872;2024/05/29;2024/05/27;;;read;;;;1;0;3
55722876;Achaja. Tom III (Achaja, #3);Andrzej Ziemiański;Ziemiański, Andrzej;;8379645561;9788379645565;5;3.48;Fabryka Słów;Paperback;418;2020;2004;2024/05/27;2024/04/05;;;read;;;;1;0;14
58429545;Get Lucky (Billionaires in Love, #1);Lila Monroe;Monroe, Lila;;;;0;3.67;Lila Monroe Books;Kindle Edition;213;2021;2016;;2023/12/25;;;read;;;;1;0;
10995106;Achaja. Tom II (Achaja, #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8375742325;9788375742329;5;3.70;Fabryka Słów;Paperback;648;2011;2003;2024/05/13;2024/04/05;;;read;;;;1;0;14
10834703;Achaja. Tom I (Achaja, #1);Andrzej Ziemiański;Ziemiański, Andrzej;;;;5;3.63;Fabryka Słów;Paperback;696;2011;2002;2024/04/26;2024/04/05;;;read;;;;1;0;15
156044718;Grzeczna dziewczynka musi zginąć (Przewodnik po zbrodni według grzecznej dziewczynki, #3);Holly  Jackson;Jackson, Holly;Ernest Kacperski, Marta Lis;8382990614;9788382990614;4;4.19;Books4YA;Paperback;576;2023;2021;2024/04/05;2024/03/29;;;read;;;;1;0;3
127072682;Grzeczna dziewczynka, zepsuta krew (Przewodnik po zbrodni według grzecznej dziewczynki, #2);Holly  Jackson;Jackson, Holly;Ernest Kacperski;8382408184;9788382408188;4;4.26;Books4YA;Paperback;464;2022;2020;2024/04/01;2024/03/29;;;read;;;;1;0;3
206104394;Extinguish the Heat. Runda finałowa (Hell, #7);P.S. Herytiera;Herytiera, P.S.;Pizgacz, Katarzyna Barlińska;8328907038;9788328907034;3;4.70;beYA;Paperback;640;2024;2024;2024/03/29;2024/03/26;;;read;;;;1;0;2
49605810;Przewodnik po zbrodni według grzecznej dziewczynki (Przewodnik po zbrodni według grzecznej dziewczynki, #1);Holly  Jackson;Jackson, Holly;Ernest Kacperski;8381541956;9788381541954;4;4.28;Zielona Sowa;Paperback;446;2019;2019;2024/03/26;2024/03/20;;;read;;;;1;0;7
63314577;Virion. Legion (Szermierz Natchniony, #3);Andrzej Ziemiański;Ziemiański, Andrzej;;;;5;4.33;Fabryka Słów;Paperback;573;2023;2023;2024/03/20;2024/03/09;;;read;;;;1;0;12
59823379;Virion. Pustynia (Szermierz Natchniony, #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8379647084;9788379647088;5;4.29;Fabryka Słów;Paperback;528;2022;2022;2024/03/09;2024/02/25;;;read;;;;1;0;14
56674185;Virion. Zamek (Szermierz Natchniony #1);Andrzej Ziemiański;Ziemiański, Andrzej;;8379646290;9788379646296;5;4.33;Fabryka Słów;Paperback;506;2021;2021;2024/02/24;2024/02/18;;;read;;;;1;0;7
52638994;Virion. Szermierz (Imperium Achai, #4);Andrzej Ziemiański;Ziemiański, Andrzej;;8379645162;9788379645169;5;4.23;Fabryka Słów;Paperback;640;2019;2019;2024/02/18;2024/02/10;;;read;;;;1;0;9
45026943;Virion. Adept (Imperium Achai, #3);Andrzej Ziemiański;Ziemiański, Andrzej;;8379644158;9788379644155;5;4.19;Fabryka Słów;Paperback;580;2019;2019;2024/02/09;2024/01/24;;;read;;;;1;0;12
40952580;Virion. Obława (Imperium Achai, #2);Andrzej Ziemiański;Ziemiański, Andrzej;;8379643577;9788379643578;5;4.16;Fabryka Słów;Paperback;506;2018;2018;2024/01/24;2024/01/05;;;read;;;;1;0;14
36202260;Virion. Wyrocznia (Imperium Achai, #1);Andrzej Ziemiański;Ziemiański, Andrzej;;8379642600;9788379642601;5;4.10;Fabryka Słów;Paperback;512;2017;2017;2024/01/03;2024/01/03;;;read;;;;1;0;7